source,path,shape,dtype,size,min,max,mean,sum,sha256
DataBase\data\120\120.binary.bgData,BG_DATA/1/RAWFRAME/PIXELSCALEXUM,[1],float64,1,80.0,80.0,80.0,80.0,dfa3d204e7b87f4b013ab1df60c206160138f6a9437d8d6ba73fec3b0ff74a64
DataBase\data\120\120.binary.bgData,BG_DATA/1/RAWFRAME/PIXELSCALEYUM,[1],float64,1,80.0,80.0,80.0,80.0,dfa3d204e7b87f4b013ab1df60c206160138f6a9437d8d6ba73fec3b0ff74a64
DataBase\data\120\120.binary.bgData,BG_DATA/1/RAWFRAME/POWER_CALIBRATION_MULTIPLIER,[1],float64,1,0.0,0.0,0.0,0.0,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
DataBase\data\120\120.binary.bgData,BG_DATA/1/RAWFRAME/SEQUENCEID,[1],uint64,1,274.0,274.0,274.0,274.0,1a8d07b8a5cb557f5f6ac26591987dcc56db36caa4c0c8df3bf5e491f340e912
DataBase\data\120\120.binary.bgData,BG_DATA/1/RAWFRAME/SUBTRACTION_OFFSET,[1],int32,1,-410327.0,-410327.0,-410327.0,-410327.0,adad285b815a4656276aa75ad3fde5c8e373a22b8f34cbe201be02b85f69eb7b
DataBase\data\120\120.binary.bgData,BG_DATA/1/RAWFRAME/TIMESTAMP,[1],|S33,1,,,,,02a4bfd1298e4aa06c24e840dc4d587c22055d09d55b656b8eae3129ebde588d
DataBase\data\120\120.binary.bgData,BG_DATA/1/RAWFRAME/WIDTH,[1],int32,1,320.0,320.0,320.0,320.0,874d4a57ec4bfe979629f5f5537f9926f71f6102abb4634ee48770d1ceb3384e
DataBase\data\120\120.binary.bgData,BG_DATA/1/REFERENCESUBTRACTED,[1],|S5,1,,,,,1139b6cfb47a3711e96a77cadebafafd1a7809f362f9acb3dbc6de118cab6269
DataBase\data\120\120.binary.bgData,BG_DATA/1/ULTRACALED,[1],|S4,1,,,,,11a6767d5674c7e45f7e00dc525762275b3a48491ad6045427d2609cc496c516
DataBase\data\120\120.binary.bgData,BG_SETUP/Aperture/RIBBON_VISIBILITY_APERTURE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
