dataset                  , direction, wavelength_um, camera_pixel_size_um, d0_um            , theta_um_per_mm   , z0_mm             , m2                , rmse_um            , r2                , delta_m2_vs_csv_original, delta_pct_vs_csv_original
csv_original             , x        ,          10.6,                 80.0, 891.1896440606082, 39.47330425746215 , 234.93397441596656, 2.6064994008427442,  45.53146222407946 , 0.9988191432383985, 0.0                     , 0.0
csv_original             , y        ,          10.6,                 80.0, 515.0106456444066, 43.376102950870234, 235.32166362920776, 1.6552010510362811,  44.102833708511575, 0.9992081223619643, 0.0                     , 0.0
png90_shape_inferred     , x        ,          10.6,                 80.0, 771.3638338439064, 36.18987453221802 , 233.8015931972883 , 2.0683801737052443,  79.96625723270225 , 0.9957808151470788, -0.5381192271374999     , -20.645284896805006
png90_shape_inferred     , y        ,          10.6,                 80.0, 401.4981429335865, 40.24036655727335 , 236.24132096515163, 1.1970973932402253,  69.35749100787474 , 0.9978049653980353, -0.4581036577960558     , -27.676617140210745
png90                    , x        ,          10.6,                 80.0, 654.3288536606966, 29.076539072659177, 226.49713911793762, 1.4096873407133783, 196.817001630741   , 0.9635380469123649, -1.196812060129366      , -45.91645253179063
png90                    , y        ,          10.6,                 80.0, 564.8149920761293, 25.19142236815002 , 224.665780190093  , 1.0542483292402993, 298.76824733224834 , 0.8950026209403913, -0.6009527217959818     , -36.30693210469749
png_original_moment_check, x        ,          10.6,                 80.0, 758.5651225569053, 31.624387428821265, 227.43788012455644, 1.7774566136869303, 187.10326900762314 , 0.9709457333335758, -0.8290427871558139     , -31.80675149542579
png_original_moment_check, y        ,          10.6,                 80.0, 673.8036711873942, 27.219573337362096, 223.25833295785847, 1.3589350568441185, 377.4636658161071  , 0.8605817427302533, -0.2962659941921626     , -17.899094131596737
