z_mm,cyan_csv_original_d4x_um,cyan_csv_original_d4y_um,cyan_center_x_screen_px,cyan_center_y_screen_px,cyan_width_screen_px,cyan_height_screen_px,green_90_energy_boundary_x_um,green_90_energy_boundary_y_um,green_center_x_screen_px,green_center_y_screen_px,green_width_screen_px,green_height_screen_px,green_energy_fraction,magenta_inferred90_d4x_um,magenta_inferred90_d4y_um,magenta_center_x_screen_px,magenta_center_y_screen_px,magenta_width_screen_px,magenta_height_screen_px,png_shape_ratio_x,png_shape_ratio_y,diagnostic_png_abs90_d4x_um,diagnostic_png_abs90_d4y_um
120,4550.0,4967.0,559.0,366.5,170.625,186.2625,2556.202632728415,2790.474390497151,558.3041006269715,373.32384438646363,95.85759872731556,104.64278964364316,0.9001016509516632,4073.951095604311,4894.878299530629,558.3041006269715,373.32384438646363,152.77316608516165,183.55793623239862,0.8953738671657826,0.98547982676276,2823.146284881507,2020.26135763845
150,3435.0,3693.0,557.5,359.0,128.8125,138.4875,2232.098469594247,2399.749533686042,555.8014279692275,363.8808883970914,83.70369260978426,89.99060751322658,0.9000497972540371,3062.814432938427,3453.9797791631177,555.8014279692275,363.8808883970914,114.85554123519101,129.5242417186169,0.8916490343343311,0.9352774923268664,2099.9206130195926,1955.1161199541943
180,2453.0,2528.0,555.0,353.5,91.98750000000001,94.80000000000001,1882.201045322286,1939.7489778127758,554.4695359166794,355.4892020217492,70.58253919958574,72.7405866679791,0.9001295943971099,2230.3741347963587,2242.0970206444676,554.4695359166794,355.4892020217492,83.63903005486344,84.07863827416753,0.9092434304102563,0.8869054670270837,1671.1774392856998,1562.7411511515763
200,1684.0,1644.0,552.5,348.5,63.150000000000006,61.650000000000006,1486.160066536653,1450.8593523671361,552.4570784795957,349.4153866544924,55.731002495124486,54.407225713767616,0.9000569966729846,1513.761248241726,1425.5961827024594,552.4570784795957,349.4153866544924,56.76604680906472,53.45985685134223,0.8989081046566069,0.8671509627143914,1207.9101798137665,1190.514975192239
210,1337.0,1261.0,550.5,346.0,50.137499999999996,47.287499999999994,1226.4464090969805,1156.7306820278927,550.4167424090706,346.7003989955786,45.99174034113677,43.37740057604597,0.9000693288962838,1164.9929406883475,1105.6449105207096,550.4167424090706,346.7003989955786,43.68723527581304,41.461684144526615,0.8713484971491007,0.8768000876452892,990.8500401726855,931.4336909183601
220,1074.0,823.1,548.5,343.5,40.275000000000006,30.86625,1024.2964778001508,785.007849978868,548.782585879216,343.9233398576008,38.41111791750566,29.43779437420755,0.9001148985063192,934.7125624168796,706.5663192714355,548.782585879216,343.9233398576008,35.05172109063298,26.49623697267883,0.8703096484328487,0.8584209929187651,837.9303946739122,630.5156990415169
230,868.6,528.8,548.0,334.5,81.43125,49.574999999999996,824.3090012770757,501.83582762527925,549.1645921406856,334.7285399158588,77.27896886972584,47.047108839869935,0.9000375426385334,765.0847170645171,453.1962921741625,549.1645921406856,334.7285399158588,71.72669222479848,42.48715239132773,0.8808251405301831,0.8570277839904739,660.1657243104776,420.69524493222946
240,888.3,588.0,547.5,334.5,66.6225,44.099999999999994,683.4337444705678,452.39113109162884,547.1731814940274,337.84366642895344,51.25753083529259,33.92933483187216,0.9001043087539113,810.8268760104792,507.3328000850127,547.1731814940274,337.84366642895344,60.81201570078594,38.049960006375954,0.9127849555448375,0.8628108844983209,579.312469198954,375.5973359444781
250,1067.0,797.0,544.5,332.0,80.025,59.775000000000006,1058.1102568829683,790.3597701365753,545.5261470449846,333.27339045305496,79.35826926622263,59.27698276024315,0.9000039393083886,880.3118182976641,713.3089463653542,545.5261470449846,333.27339045305496,66.02338637232481,53.498170977401564,0.8250345063708192,0.8949924044734683,784.7447358899449,671.5348529432682
260,1339.0,1170.0,541.0,326.0,100.42500000000001,87.75,1260.7627067764652,1101.6373166007947,542.1451360464308,328.6356807946713,94.5572030082349,82.62279874505961,0.9000300791289559,1203.374359526782,1041.1467951208413,542.1451360464308,328.6356807946713,90.25307696450864,78.08600963406309,0.898711246845991,0.8898690556588387,1023.2061741697133,973.5667584671431
