z_mm,csv_d4x_um,csv_d4y_um,total_energy_cnts,csv_centroid_x_um,csv_centroid_y_um,screen_center_x,screen_center_y,display_scale_x_screen_px_per_camera_px,display_scale_y_screen_px_per_camera_px,original_d4_width_screen_px,original_d4_height_screen_px,png_original_moment_d4x_um,png_original_moment_d4y_um,png90_d4x_um,png90_d4y_um,png90_to_png_original_ratio_x,png90_to_png_original_ratio_y,inferred90_d4x_um,inferred90_d4y_um,inferred90_width_screen_px,inferred90_height_screen_px,png90_centroid_x_screen,png90_centroid_y_screen,png90_energy_boundary_r_over_original_d4_radius,energy_boundary_x_um,energy_boundary_y_um,energy_boundary_width_screen_px,energy_boundary_height_screen_px,png90_energy_fraction,png_background_level,yellow_overlay_width_screen_px,yellow_overlay_height_screen_px,scale_x_run_counts,scale_y_run_counts
120,4550.0,4967.0,544564.77,9585.196,12120.39,559.0,366.5,3.0,3.0,170.625,186.2625,3153.0362772568933,2050.0281210980065,2823.146284881507,2020.26135763845,0.8953738671657826,0.98547982676276,4073.951095604311,4894.878299530629,152.77316608516165,183.55793623239862,558.3041006269715,373.32384438646363,0.5618027764238275,2556.202632728415,2790.474390497151,95.85759872731556,104.64278964364316,0.9001016509516632,0.0014970059880239361,297.0,338.0,3:7405;6:3037;9:1477;12:808;15:535;2:384;18:320;21:229,3:9882;6:4232;12:2403;9:1680;13:802;2:471;15:347;5:347
150,3435.0,3693.0,504547.58,9456.434,12372.7,557.5,359.0,3.0,3.0,128.8125,138.4875,2355.09772585276,2090.4128838705215,2099.9206130195926,1955.1161199541943,0.8916490343343311,0.9352774923268664,3062.814432938427,3453.9797791631177,114.85554123519101,129.5242417186169,555.8014279692275,363.8808883970914,0.6498103259371898,2232.098469594247,2399.749533686042,83.70369260978426,89.99060751322658,0.9000497972540371,0.0014970059880239361,228.0,245.0,3:7532;6:3181;9:1358;12:800;15:560;2:314;18:298;5:218,3:9471;6:3933;12:2399;9:1603;13:804;2:442;15:365;5:323
180,2453.0,2528.0,568243.13,9352.675,12551.96,555.0,353.5,3.0,3.0,91.98750000000001,94.80000000000001,1837.986817822433,1762.015467544586,1671.1774392856998,1562.7411511515763,0.9092434304102563,0.8869054670270837,2230.3741347963587,2242.0970206444676,83.63903005486344,84.07863827416753,554.4695359166794,355.4892020217492,0.7673057665398638,1882.201045322286,1939.7489778127758,70.58253919958574,72.7405866679791,0.9001295943971099,0.0014970059880239361,175.0,180.0,3:7916;6:3379;9:1520;12:903;15:496;18:322;2:302;5:232,3:9880;6:4349;12:2428;9:1751;13:802;2:475;15:418;5:309
200,1684.0,1644.0,519728.48,9284.979,12700.87,552.5,348.5,3.0,3.0,63.150000000000006,61.650000000000006,1343.7526856821498,1372.903942198992,1207.9101798137665,1190.514975192239,0.8989081046566069,0.8671509627143914,1513.761248241726,1425.5961827024594,56.76604680906472,53.45985685134223,552.4570784795957,349.4153866544924,0.8825178542379174,1486.160066536653,1450.8593523671361,55.731002495124486,54.407225713767616,0.9000569966729846,0.0014970059880239361,120.0,120.0,3:7786;6:3084;9:1460;12:842;15:509;2:292;18:285;21:230,3:9730;6:4098;12:2424;9:1631;13:800;2:445;15:415;18:313
210,1337.0,1261.0,482475.13,9237.804,12764.54,550.5,346.0,3.0,3.0,50.137499999999996,47.287499999999994,1137.1455203223197,1062.3102164825204,990.8500401726855,931.4336909183601,0.8713484971491007,0.8768000876452892,1164.9929406883475,1105.6449105207096,43.68723527581304,41.461684144526615,550.4167424090706,346.7003989955786,0.9173121982774723,1226.4464090969805,1156.7306820278927,45.99174034113677,43.37740057604597,0.9000693288962838,0.0014970059880239361,94.0,91.0,3:8093;6:3222;9:1451;12:886;15:497;2:311;18:283;5:232,3:9443;6:3901;12:2476;9:1602;13:802;15:453;2:430;5:328
220,1074.0,823.1,513466.33,9192.975,12829.51,548.5,343.5,3.0,3.0,40.275000000000006,30.86625,962.7957086110199,734.5063835143003,837.9303946739122,630.5156990415169,0.8703096484328487,0.8584209929187651,934.7125624168796,706.5663192714355,35.05172109063298,26.49623697267883,548.782585879216,343.9233398576008,0.9537211152701591,1024.2964778001508,785.007849978868,38.41111791750566,29.43779437420755,0.9001148985063192,0.0014970059880239361,76.0,60.0,3:8023;6:3359;9:1507;12:860;15:466;18:296;2:278;5:251,3:9917;6:4048;12:2460;9:1695;13:800;2:425;15:409;5:357
230,868.6,528.8,442092.05,9158.078,12907.5,548.0,334.5,7.5,7.5,81.43125,49.574999999999996,749.4855606790617,490.87702031478784,660.1657243104776,420.69524493222946,0.8808251405301831,0.8570277839904739,765.0847170645171,453.1962921741625,71.72669222479848,42.48715239132773,549.1645921406856,334.7285399158588,0.9490087511824495,824.3090012770757,501.83582762527925,77.27896886972584,47.047108839869935,0.9000375426385334,0.0014970059880239361,153.0,94.0,7:3105;8:1049;15:901;14:899;22:633;29:419;36:198;21:179,7:3770;8:1327;15:1177;14:1075;22:769;29:585;21:203;36:164
240,888.3,588.0,91425.8,9117.076,12995.66,547.5,334.5,6.0,6.0,66.6225,44.099999999999994,634.6647867932538,435.31826347191736,579.312469198954,375.5973359444781,0.9127849555448375,0.8628108844983209,810.8268760104792,507.3328000850127,60.81201570078594,38.049960006375954,547.1731814940274,337.84366642895344,0.7693726719245388,683.4337444705678,452.39113109162884,51.25753083529259,33.92933483187216,0.9001043087539113,0.0014970059880239361,122.0,86.0,6:4395;12:1519;18:724;5:557;11:418;17:326;24:311;23:308,6:5452;12:2108;18:788;5:716;11:562;24:467;23:396;17:394
250,1067.0,797.0,466620.31,9083.592,13048.71,544.5,332.0,6.0,6.0,80.025,59.775000000000006,951.1659570966287,750.3246391664496,784.7447358899449,671.5348529432682,0.8250345063708192,0.8949924044734683,880.3118182976641,713.3089463653542,66.02338637232481,53.498170977401564,545.5261470449846,333.27339045305496,0.9916684694310857,1058.1102568829683,790.3597701365753,79.35826926622263,59.27698276024315,0.9000039393083886,0.0014970059880239361,144.0,119.0,6:4625;12:1741;18:709;5:600;11:500;24:369;17:337;23:287,6:5605;12:2281;5:809;18:807;11:534;17:425;24:418;23:344
260,1339.0,1170.0,520974.73,9038.265,13121.25,541.0,326.0,6.0,6.0,100.42500000000001,87.75,1138.526059132602,1094.0562010512172,1023.2061741697133,973.5667584671431,0.898711246845991,0.8898690556588387,1203.374359526782,1041.1467951208413,90.25307696450864,78.08600963406309,542.1451360464308,328.6356807946713,0.9415703560690554,1260.7627067764652,1101.6373166007947,94.5572030082349,82.62279874505961,0.9000300791289559,0.0014970059880239361,189.0,175.0,6:4756;12:1707;18:698;5:587;11:508;24:332;17:329;23:249,6:5626;12:2194;18:794;5:759;11:637;24:435;17:414;23:312
270,1681.0,1586.0,526307.81,9003.73,13185.49,537.5,322.0,6.0,6.0,126.07499999999999,118.94999999999999,1408.2514759445403,1434.3444398868835,1324.5751003044509,1260.1262738580501,0.9405813684065439,0.8785381243276735,1581.1172802914004,1393.3614651836901,118.58379602185502,104.50210988877677,539.8371246091366,324.43559491374583,0.885830066843818,1489.0803423644581,1404.9264860142955,111.68102567733435,105.36948645107215,0.9000346803423837,0.0014970059880239361,240.0,235.0,6:4364;12:1657;18:639;5:620;11:470;17:314;24:308;23:248,6:5594;12:2097;18:722;5:716;11:605;24:431;23:374;17:363
280,1989.0,2011.0,529464.27,8950.076,13266.17,532.5,314.5,6.0,6.0,149.175,150.825,1718.3105841216116,1746.2880793073211,1586.647990534651,1569.373456306083,0.923376719666622,0.8986910435353754,1836.5962954169113,1807.26768854964,137.74472215626832,135.545076641223,536.4588576224704,318.9334516905626,0.8822425762293511,1754.7804841201794,1774.1898207972251,131.60853630901346,133.06423655979188,0.9000329524117432,0.0014970059880239361,280.0,296.0,6:4638;12:1714;18:737;5:584;11:501;17:348;24:312;23:258,6:5332;12:2269;18:799;5:703;11:591;24:415;17:403;23:368
300,2698.0,2845.0,519066.94,8863.556,13396.1,520.5,303.0,6.0,6.0,202.35000000000002,213.375,2462.231103891442,2249.6479149981133,2278.3989257695116,2058.8029991577678,0.9253391861424412,0.9151667625106992,2496.5651242123063,2603.6494393429393,187.24238431592295,195.27370795072045,533.8593555032617,309.2431350545595,0.8475909590963318,2286.800407641903,2411.396278629064,171.51003057314276,180.8547208971798,0.9000060296356591,0.0014970059880239361,380.0,393.0,6:4294;12:1574;18:655;5:544;11:494;24:364;17:325;23:250,6:5281;12:1876;18:768;5:717;11:661;24:416;17:384;23:343
330,3813.0,4083.0,511089.58,8702.355,13693.57,504.0,290.0,3.0,3.0,142.9875,153.1125,3357.173950439992,2629.367416459427,3038.037135193087,2429.7312688649968,0.9049388503669645,0.9240744574741668,3450.531836449236,3772.996009867023,129.39494386684635,141.48735037001336,537.6998900696226,315.1257176010748,0.7649118906361221,2916.6090389955334,3123.1352494672865,109.37283896233251,117.11757185502326,0.9000907017013441,0.0014970059880239361,231.0,237.0,3:6844;6:2682;2:1036;9:1027;5:788;8:532;12:504;11:428,3:8828;6:3533;12:2022;9:1185;2:1153;5:944;13:843;8:619
360,5085.0,5523.0,3208418.64,8581.291,13892.93,518.5,306.5,3.0,3.0,190.6875,207.11249999999998,4626.35812727904,4547.660380155736,4367.818258106781,4044.521390356656,0.9441158980650906,0.8893631125150445,4800.829341660986,4911.9524704205905,180.03110031228698,184.19821764077216,529.1058413167489,305.90531810529626,0.8676544020114123,4412.022634228031,4792.05526230903,165.45084878355118,179.70207233658863,0.9000187488009486,0.0014970059880239361,358.0,388.0,3:7163;6:2744;9:1093;2:975;5:835;8:586;12:507;11:466,3:8876;6:3563;12:2054;9:1311;2:1277;5:994;13:857;8:640
