design,focal_length_mm,lens_z_mm,powered_direction,cylinder_axis_direction,new_x_waist_d4_um,new_x_divergence_um_per_mm,new_x_waist_z_mm,evaluation_window_mm,max_ellipticity,min_circularity
理论整段最优,50.915051634430974,219.36842266509774,X,Y,646.2784290521615,54.43196255008427,235.32166360818695,220-250,1.2548836529824592,0.796886625802574
推荐标准件_整段均衡,50.0,219.43414445438512,X,Y,643.1641631463941,54.695527616154635,235.3192924921404,220-250,1.2563026424385304,0.7959865451361008
理论单点圆斑,25.555807580612537,222.46465641633026,X,Y,515.0106366563651,68.30578000385415,235.32166360818695,z=235.322,1.0,1.0
备选标准件_单点圆斑,25.4,222.61795472400928,X,Y,514.9624832331335,68.31216718202892,235.42473802310872,225.3-245.3,1.2737900377289653,0.7850587383952976
