lens_position_error_mm,focal_length_error_pct,max_ellipticity_220_250,mean_ellipticity_220_250
-2.0,-2.0,1.3376012106192028,1.238516165244466
-2.0,-1.0,1.3341743763379745,1.2398966352836496
-2.0,0.0,1.3308698061429722,1.241284137374719
-2.0,0.9999999999999999,1.3276826739135552,1.2426774249968744
-2.0,2.0,1.3246083720224644,1.244075338777752
-1.5,-2.0,1.31729122119451,1.2401956252768929
-1.5,-1.0,1.3141810574545603,1.2416742337745237
-1.5,0.0,1.3111859403835746,1.24315569579446
-1.5,0.9999999999999999,1.3083012474797342,1.244638944353289
-1.5,2.0,1.3055225680958435,1.2461229910347633
-1.0,-2.0,1.2976859562111525,1.2425080535431998
-1.0,-1.0,1.2948860032397131,1.2440725610097751
-1.0,0.0,1.2921939247967102,1.2456360683078922
-1.0,0.9999999999999999,1.2896053033143644,1.2471976775292877
-1.0,2.0,1.2871159263536358,1.2487565611311118
-0.5,-2.0,1.2787902646222398,1.2454284918831615
-0.5,-1.0,1.2762938204037682,1.2470670273931348
-0.5,0.0,1.273898129102233,1.248701028114873
-0.5,0.9999999999999999,1.2715989794580915,1.2503297547765027
-0.5,2.0,1.269392358510052,1.2519525306558486
0.0,-2.0,1.2606086690741825,1.248932179171197
0.0,-1.0,1.2584087804401318,1.2506332476445399
0.0,0.0,1.2563026424385304,1.2523265595322834
0.0,0.9999999999999999,1.256446683785707,1.2540115238064067
0.0,2.0,1.2577192873243785,1.2556876045644862
0.5,-2.0,1.269140539341383,1.2529945952289765
0.5,-1.0,1.2693461621497548,1.254747083588487
0.5,0.0,1.2705596690322811,1.2564888996844834
0.5,0.9999999999999999,1.2726202879107598,1.2582195904088904
0.5,2.0,1.2752309383768596,1.2599387507513466
1.0,-2.0,1.2841114831491165,1.2575915037573657
1.0,-1.0,1.285777881012225,1.2593846859545421
1.0,0.0,1.28783317111375,1.2611645791999746
1.0,0.9999999999999999,1.2901854944509838,1.2629308580722516
1.0,2.0,1.2927587275379937,1.2646832386196378
1.5,-2.0,1.301231754583293,1.262698994217039
1.5,-1.0,1.3032283707784826,1.2645225351215832
1.5,0.0,1.3054251334779097,1.2663304618480196
1.5,0.9999999999999999,1.3077817907432636,1.2681225665404707
1.5,2.0,1.310264878751672,1.2698986765871867
2.0,-2.0,1.3188030395394739,1.2682935225888439
2.0,-1.0,1.3208733643830481,1.2701374807389372
2.0,0.0,1.323067297464871,1.2719637830504065
2.0,0.9999999999999999,1.3253632700540323,1.273772329244957
2.0,2.0,1.327741465200419,1.2755630484669886
