z_mm,baseline_d4x_um,baseline_d4y_um,baseline_ellipticity,robust_d4x_um,robust_d4y_um,robust_ellipticity,point_d4x_um,point_d4y_um,point_ellipticity
120.0,4623.525512067369,5028.646375632873,1.0876216347261718,,5028.646375632873,,,5028.646375632873,
120.5,4604.160539949151,5007.072858619612,1.0875104843053345,,5007.072858619612,,,5007.072858619612,
121.0,4584.798737716232,4985.500335476797,1.0873978599026053,,4985.500335476797,,,4985.500335476797,
121.5,4565.440145698585,4963.928819162082,1.0872837362327354,,4963.928819162082,,,4963.928819162082,
122.0,4546.08480490639,4942.358322858734,1.0871680874770888,,4942.358322858734,,,4942.358322858734,
122.5,4526.732757044277,4920.78885998055,1.0870508872703084,,4920.78885998055,,,4920.78885998055,
123.0,4507.384044525946,4899.220444176899,1.0869321086865948,,4899.220444176899,,,4899.220444176899,
123.5,4488.038710489131,4877.653089337907,1.0868117242255948,,4877.653089337907,,,4877.653089337907,
124.0,4468.6967988109545,4856.086809599774,1.0866897057978733,,4856.086809599774,,,4856.086809599774,
124.5,4449.3583541236685,4834.521619350226,1.0865660247099647,,4834.521619350226,,,4834.521619350226,
125.0,4430.023421830788,4812.957533234121,1.086440651648988,,4812.957533234121,,,4812.957533234121,
125.5,4410.692048123641,4791.394566159203,1.0863135566668087,,4791.394566159203,,,4791.394566159203,
126.0,4391.364279998342,4769.832733302014,1.086184709163735,,4769.832733302014,,,4769.832733302014,
126.5,4372.040165273193,4748.272050113947,1.0860540778717307,,4748.272050113947,,,4748.272050113947,
127.0,4352.71975260655,4726.712532327495,1.0859216308371302,,4726.712532327495,,,4726.712532327495,
127.5,4333.403091515129,4705.154195962637,1.085787335402839,,4705.154195962637,,,4705.154195962637,
128.0,4314.090232392804,4683.597057333429,1.0856511581900035,,4683.597057333429,,,4683.597057333429,
128.5,4294.78122652989,4662.041133054752,1.0855130650791267,,4662.041133054752,,,4662.041133054752,
129.0,4275.476126132931,4640.48644004926,1.085373021190618,,4640.48644004926,,,4640.48644004926,
129.5,4256.174984345003,4618.932995554515,1.085230990864756,,4618.932995554515,,,4618.932995554515,
130.0,4236.877855266564,4597.380817130324,1.0850869376410377,,4597.380817130324,,,4597.380817130324,
130.5,4217.584793976843,4575.829922666282,1.0849408242369072,,4575.829922666282,,,4575.829922666282,
131.0,4198.2958565558065,4554.280330389518,1.0847926125258247,,4554.280330389518,,,4554.280330389518,
131.5,4179.011100106709,4532.732058872678,1.0846422635146715,,4532.732058872678,,,4532.732058872678,
132.0,4159.730582779249,4511.185127042114,1.084489737320451,,4511.185127042114,,,4511.185127042114,
132.5,4140.454363793347,4489.639554186319,1.0843349931462742,,4489.639554186319,,,4489.639554186319,
133.0,4121.182503463565,4468.095359964603,1.0841779892565986,,4468.095359964603,,,4468.095359964603,
133.5,4101.915063224194,4446.552564416014,1.0840186829516962,,4446.552564416014,,,4446.552564416014,
134.0,4082.6521056550164,4425.011187968523,1.0838570305413222,,4425.011187968523,,,4425.011187968523,
134.5,4063.393694507783,4403.471251448462,1.0836929873175565,,4403.471251448462,,,4403.471251448462,
135.0,4044.1398947334096,4381.9327760902615,1.0835265075267926,,4381.9327760902615,,,4381.9327760902615,
