path,shape,dtype,size,min,max,mean,sum,sha256,value,array_file,text_file
BG_SETUP/RESULTS_MANAGER/RESULT_UI/RESULT_WINDOW_MANAGER/RESULTS/uniformity1D_Ym_/DISPLAY_OPTIONS/FONT_COLOR,[1],|S253,1,,,,,54f2fa510d02216c51c0b6026bef4c7bcaaf8ea59480c2a3e7088f10794762b9,"""<?xml version=\""1.0\""?>\r\n<Color xmlns:xsd=\""http://www.w3.org/2001/XMLSchema\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"">\r\n  <A>255</A>\r\n  <R>0</R>\r\n  <G>0</G>\r\n  <B>0</B>\r\n  <ScA>1</ScA>\r\n  <ScR>0</ScR>\r\n  <ScG>0</ScG>\r\n  <ScB>0</ScB>\r\n</Color>""",,DataBase\bgdata_extract\180.binary\strings\BG_SETUP__RESULTS_MANAGER__RESULT_UI__RESULT_WINDOW_MANAGER__RESULTS__uniformity1D_Ym___DISPLAY_OPTIONS__FONT_COLOR.txt
BG_SETUP/RESULTS_MANAGER/RESULT_UI/RESULT_WINDOW_MANAGER/RESULTS/uniformity1D_Ym_/DISPLAY_OPTIONS/FONT_SIZE,[1],int32,1,12.0,12.0,12.0,12.0,42f4aeb81c1ef81f771f3de8abca9dcf66901c575530e7672e4b1146474ae650,12,,
BG_SETUP/RESULTS_MANAGER/RESULT_UI/RESULT_WINDOW_MANAGER/RESULTS/uniformity1D_Ym_/VISIBLE,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,0,,
BG_SETUP/RESULTS_MANAGER/RESULT_UI/WIDTH,[1],float64,1,89.22666666666666,89.22666666666666,89.22666666666666,89.22666666666666,9d3a47ebf7adcadb95a56b1c13b074f48249e8e1e11aecb9bcbbe09c577601f0,89.22666666666666,,
BG_SETUP/Reports/RIBBON_VISIBILITY_PRINT_FRAME,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91,"""Visible""",,
BG_SETUP/Reports/RIBBON_VISIBILITY_PRINT_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91,"""Visible""",,
BG_SETUP/SETUP_APPLICATION_TYPE,[1],|S15,1,,,,,804c07f6157608b1f4663c59ced8b61b9b01b77a7d450fb4395d9dabf7163e6b,"""BG_PROFESSIONAL""",,
BG_SETUP/SETUP_CULTURE,[1],|S36,1,,,,,4169cf63dceed03b46ae5c53084196ef8c131d48ac937a63e0ab9f137fcdc1fa,"""Chinese (Simplified, Mainland China)""",,
BG_SETUP/Source/RIBBON_VISIBILITY_A String,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91,"""Visible""",,
BG_SETUP/Source/RIBBON_VISIBILITY_BAD_PIXEL_CORRECTION,[1],|S9,1,,,,,b322b65227bc3ec948893e32aa98f227417327069e191d79107a2736a7b2f980,"""Collapsed""",,
BG_SETUP/Source/RIBBON_VISIBILITY_DATASOURCE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91,"""Visible""",,
BG_SETUP/Source/RIBBON_VISIBILITY_EGB_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91,"""Visible""",,
BG_SETUP/Source/RIBBON_VISIBILITY_GAIN_CORRECTION,[1],|S9,1,,,,,b322b65227bc3ec948893e32aa98f227417327069e191d79107a2736a7b2f980,"""Collapsed""",,
BG_SETUP/Source/RIBBON_VISIBILITY_Need to implement this,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91,"""Visible""",,
